id,name,games,rated_ts_mu,rated_ts_sigma,last_activity_at
150499003191132161,MrBricks,39,17.029275581921556,4.198852291642986,2024-04-07 10:31:14.049668+00:00
350120461742637057,ShadesSlant,53,16.38236049606855,3.9677700987702225,2024-04-10 08:38:09.121920+00:00
348036630159818754,comeherelois,21,16.360598720701937,5.382294467616816,2024-04-09 03:18:48.775131+00:00
146502833846353920,[EL]McDanger,16,15.752943193720574,5.746331000872133,2024-04-09 11:31:43.978403+00:00
199139852934053888,Ragingmoose,65,14.788958518011027,3.581554712956508,2024-04-10 08:09:55.843864+00:00
1067296312292278313,HawXter,17,14.24716325439494,5.740721531405808,2024-04-08 07:48:40.530936+00:00
330930733189169182,ROGUEdenied,6,13.397261743977161,6.982983486926436,2024-04-10 07:34:51.922672+00:00
203108939888328705,[40%] SaniCs.,44,13.3359848487394,4.141369262593005,2024-04-09 12:20:15.841568+00:00
579255356224569365,K-Data.,32,13.118896204211854,4.697146654003102,2024-04-08 10:18:30.115309+00:00
422322762460168193,Chatters,15,12.75859570859308,5.531432056369785,2024-04-09 12:04:21.412706+00:00
